DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/14/24,HOU,LAC,Jeenathan Williams,SG,21,13,3,0,16,1,1,2,0,6,9,1,1,0,3,1,2,20.6,False,False,True,lac20240414
04/14/24,HOU,LAC,Aaron Holiday,PG,16,9,2,2,13,1,0,3,2,4,10,1,3,0,0,0,2,14.4,False,False,True,lac20240414
04/14/24,HOU,LAC,Nate Hinton,SG,13,2,5,4,11,0,0,0,1,1,3,0,2,0,0,1,4,14.0,False,False,True,lac20240414
04/14/24,HOU,LAC,Jeff Green,PF,12,7,2,0,9,0,1,1,1,3,6,1,2,0,0,1,1,11.4,False,False,True,lac20240414
04/14/24,HOU,LAC,Boban Marjanovic,C,12,13,8,1,22,1,1,2,0,6,8,0,0,1,3,0,8,28.1,False,False,True,lac20240414
04/14/24,HOU,LAC,Reggie Bullock,SF,5,0,3,0,3,0,0,1,1,0,1,0,1,0,0,0,3,2.6,False,False,True,lac20240414
04/14/24,HOU,LAC,Jermaine Samuels,SF,4,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,5.7,False,False,True,lac20240414
04/14/24,MEM,DEN,Gregory Jackson,PF,44,44,12,1,57,2,1,3,1,17,36,4,13,6,7,6,6,65.9,False,True,False,mem20240414
04/14/24,MEM,DEN,Jake LaRavia,PF,39,29,5,4,38,0,0,4,3,11,20,4,11,3,4,2,3,37.0,False,True,False,mem20240414
04/14/24,MEM,DEN,Trey Jemison,C,38,6,11,3,20,2,1,2,4,3,6,0,0,0,0,3,8,30.7,False,True,False,mem20240414
04/14/24,MEM,DEN,Jordan Goodwin,SG,36,8,8,3,19,3,0,1,1,3,13,0,3,2,4,2,6,30.1,False,True,False,mem20240414
04/14/24,MEM,DEN,Scotty Pippen,PG,25,15,3,7,25,0,0,3,5,7,11,0,3,1,1,2,1,26.1,False,True,False,mem20240414
04/14/24,MEM,DEN,Timmy Allen,,24,1,1,1,3,2,0,0,3,0,2,0,0,1,2,0,1,9.7,False,True,False,mem20240414
04/14/24,MEM,DEN,Zavier Simpson,,22,8,1,3,12,0,0,0,1,4,8,0,1,0,0,0,1,13.7,False,True,False,mem20240414
04/14/24,MEM,DEN,Jack White,,9,0,2,0,2,0,0,0,0,0,4,0,2,0,0,1,1,2.4,False,True,False,mem20240414
04/14/24,DEN,MEM,Nikola Jokic,C,30,15,15,5,35,4,0,4,1,7,11,0,0,1,2,4,11,48.5,False,False,True,mem20240414
04/14/24,DEN,MEM,Aaron Gordon,PF,26,15,5,5,25,0,1,1,2,4,6,0,1,7,8,3,2,30.5,False,False,True,mem20240414
04/14/24,DEN,MEM,Christian Braun,SG,24,19,10,5,34,2,0,1,2,6,14,2,6,5,6,5,5,43.5,False,False,True,mem20240414
